"Column Name","Label"
"DP05_0013M","Margin of Error!!SEX AND AGE!!Total population!!55 to 59 years"
"DP05_0013MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!55 to 59 years"
"DP05_0014E","Estimate!!SEX AND AGE!!Total population!!60 to 64 years"
"DP05_0014M","Margin of Error!!SEX AND AGE!!Total population!!60 to 64 years"
"DP05_0014MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!60 to 64 years"
"DP05_0014EA","Annotation of Estimate!!SEX AND AGE!!Total population!!60 to 64 years"
"DP05_0015E","Estimate!!SEX AND AGE!!Total population!!65 to 74 years"
"DP05_0015EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 to 74 years"
"DP05_0015M","Margin of Error!!SEX AND AGE!!Total population!!65 to 74 years"
"DP05_0015MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 to 74 years"
"DP05_0016E","Estimate!!SEX AND AGE!!Total population!!75 to 84 years"
"DP05_0016EA","Annotation of Estimate!!SEX AND AGE!!Total population!!75 to 84 years"
"DP05_0016M","Margin of Error!!SEX AND AGE!!Total population!!75 to 84 years"
"DP05_0016MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!75 to 84 years"
"DP05_0017E","Estimate!!SEX AND AGE!!Total population!!85 years and over"
"DP05_0017M","Margin of Error!!SEX AND AGE!!Total population!!85 years and over"
"DP05_0017MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!85 years and over"
"DP05_0017EA","Annotation of Estimate!!SEX AND AGE!!Total population!!85 years and over"
"DP05_0018E","Estimate!!SEX AND AGE!!Total population!!Median age (years)"
"DP05_0018EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Median age (years)"
"DP05_0018M","Margin of Error!!SEX AND AGE!!Total population!!Median age (years)"
"DP05_0018MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Median age (years)"
"DP05_0019E","Estimate!!SEX AND AGE!!Total population!!Under 18 years"
"DP05_0019M","Margin of Error!!SEX AND AGE!!Total population!!Under 18 years"
"DP05_0019MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Under 18 years"
"DP05_0019EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Under 18 years"
"DP05_0020E","Estimate!!SEX AND AGE!!Total population!!16 years and over"
"DP05_0020M","Margin of Error!!SEX AND AGE!!Total population!!16 years and over"
"DP05_0020MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!16 years and over"
"DP05_0020EA","Annotation of Estimate!!SEX AND AGE!!Total population!!16 years and over"
"DP05_0021E","Estimate!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0021EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0021M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0021MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0022E","Estimate!!SEX AND AGE!!Total population!!21 years and over"
"DP05_0022EA","Annotation of Estimate!!SEX AND AGE!!Total population!!21 years and over"
"DP05_0022M","Margin of Error!!SEX AND AGE!!Total population!!21 years and over"
"DP05_0022MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!21 years and over"
"DP05_0023E","Estimate!!SEX AND AGE!!Total population!!62 years and over"
"DP05_0023EA","Annotation of Estimate!!SEX AND AGE!!Total population!!62 years and over"
"DP05_0023M","Margin of Error!!SEX AND AGE!!Total population!!62 years and over"
"DP05_0023MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!62 years and over"
"DP05_0024E","Estimate!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0024EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0024M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0024MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0025E","Estimate!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0025M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0025MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0025EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0026E","Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male"
"DP05_0026EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male"
"DP05_0026M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Male"
"DP05_0026MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Male"
"DP05_0027E","Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female"
"DP05_0027EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female"
"DP05_0027M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Female"
"DP05_0027MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Female"
"DP05_0028E","Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)"
"DP05_0028M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)"
"DP05_0028MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)"
"DP05_0028EA","Annotation of Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)"
"DP05_0029E","Estimate!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0029EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0029M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0029MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0030E","Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male"
"DP05_0030M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Male"
"DP05_0030MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Male"
"DP05_0030EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male"
"DP05_0031E","Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female"
"DP05_0031EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female"
"DP05_0031M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Female"
"DP05_0031MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Female"
"DP05_0032E","Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)"
"DP05_0032EA","Annotation of Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)"
"DP05_0032M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)"
"DP05_0032MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)"
"DP05_0033E","Estimate!!RACE!!Total population"
"DP05_0033EA","Annotation of Estimate!!RACE!!Total population"
"DP05_0033M","Margin of Error!!RACE!!Total population"
"DP05_0033MA","Annotation of Margin of Error!!RACE!!Total population"
"DP05_0034E","Estimate!!RACE!!Total population!!One race"
"DP05_0034EA","Annotation of Estimate!!RACE!!Total population!!One race"
"DP05_0034M","Margin of Error!!RACE!!Total population!!One race"
"DP05_0034MA","Annotation of Margin of Error!!RACE!!Total population!!One race"
"DP05_0035E","Estimate!!RACE!!Total population!!Two or more races"
"DP05_0035EA","Annotation of Estimate!!RACE!!Total population!!Two or more races"
"DP05_0035M","Margin of Error!!RACE!!Total population!!Two or more races"
"DP05_0035MA","Annotation of Margin of Error!!RACE!!Total population!!Two or more races"
"DP05_0036E","Estimate!!RACE!!Total population!!One race"
"DP05_0036M","Margin of Error!!RACE!!Total population!!One race"
"DP05_0036MA","Annotation of Margin of Error!!RACE!!Total population!!One race"
"DP05_0036EA","Annotation of Estimate!!RACE!!Total population!!One race"
"DP05_0037E","Estimate!!RACE!!Total population!!One race!!White"
"DP05_0037M","Margin of Error!!RACE!!Total population!!One race!!White"
"DP05_0037MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!White"
"DP05_0037EA","Annotation of Estimate!!RACE!!Total population!!One race!!White"
"DP05_0038E","Estimate!!RACE!!Total population!!One race!!Black or African American"
"DP05_0038EA","Annotation of Estimate!!RACE!!Total population!!One race!!Black or African American"
"DP05_0038M","Margin of Error!!RACE!!Total population!!One race!!Black or African American"
"DP05_0038MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Black or African American"
"DP05_0039E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native"
"DP05_0039M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native"
"DP05_0039MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native"
"DP05_0039EA","Annotation of Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native"
"DP05_0040E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping"
"DP05_0040EA","Annotation of Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping"
"DP05_0040M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping"
"DP05_0040MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping"
"DP05_0041E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping"
"DP05_0041M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping"
"DP05_0041MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping"
"DP05_0041EA","Annotation of Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping"
"DP05_0042E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping"
"DP05_0042M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping"
"DP05_0042MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping"
"DP05_0042EA","Annotation of Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping"
"DP05_0043E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping"
"DP05_0043EA","Annotation of Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping"
"DP05_0043M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping"
"DP05_0043MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping"
"DP05_0044E","Estimate!!RACE!!Total population!!One race!!Asian"
"DP05_0044EA","Annotation of Estimate!!RACE!!Total population!!One race!!Asian"
"DP05_0044M","Margin of Error!!RACE!!Total population!!One race!!Asian"
"DP05_0044MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Asian"
"DP05_0045E","Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian"
"DP05_0045EA","Annotation of Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian"
"DP05_0045M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Asian Indian"
"DP05_0045MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Asian!!Asian Indian"
"DP05_0046E","Estimate!!RACE!!Total population!!One race!!Asian!!Chinese"
"DP05_0046EA","Annotation of Estimate!!RACE!!Total population!!One race!!Asian!!Chinese"
"DP05_0046M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Chinese"
"DP05_0046MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Asian!!Chinese"
"DP05_0047E","Estimate!!RACE!!Total population!!One race!!Asian!!Filipino"
"DP05_0047EA","Annotation of Estimate!!RACE!!Total population!!One race!!Asian!!Filipino"
"DP05_0047M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Filipino"
"DP05_0047MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Asian!!Filipino"
"DP05_0048E","Estimate!!RACE!!Total population!!One race!!Asian!!Japanese"
"DP05_0048M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Japanese"
"DP05_0048MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Asian!!Japanese"
"DP05_0048EA","Annotation of Estimate!!RACE!!Total population!!One race!!Asian!!Japanese"
"DP05_0049E","Estimate!!RACE!!Total population!!One race!!Asian!!Korean"
"DP05_0049EA","Annotation of Estimate!!RACE!!Total population!!One race!!Asian!!Korean"
"DP05_0049M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Korean"
"DP05_0049MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Asian!!Korean"
"DP05_0050E","Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese"
"DP05_0050M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Vietnamese"
"DP05_0050MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Asian!!Vietnamese"
"DP05_0050EA","Annotation of Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese"
"DP05_0051E","Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian"
"DP05_0051EA","Annotation of Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian"
"DP05_0051M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Other Asian"
"DP05_0051MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Asian!!Other Asian"
"DP05_0052E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander"
"DP05_0052EA","Annotation of Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander"
"DP05_0052M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander"
"DP05_0052MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander"
"DP05_0053E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP05_0053M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP05_0053MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP05_0053EA","Annotation of Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP05_0054E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro"
"DP05_0054EA","Annotation of Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro"
"DP05_0054M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro"
"DP05_0054MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro"
"DP05_0055E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan"
"DP05_0055EA","Annotation of Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan"
"DP05_0055M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan"
"DP05_0055MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan"
"DP05_0056E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander"
"DP05_0056EA","Annotation of Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander"
"DP05_0056M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander"
"DP05_0056MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander"
"DP05_0057E","Estimate!!RACE!!Total population!!One race!!Some other race"
"DP05_0057EA","Annotation of Estimate!!RACE!!Total population!!One race!!Some other race"
"DP05_0057M","Margin of Error!!RACE!!Total population!!One race!!Some other race"
"DP05_0057MA","Annotation of Margin of Error!!RACE!!Total population!!One race!!Some other race"
"DP05_0058E","Estimate!!RACE!!Total population!!Two or more races"
"DP05_0058M","Margin of Error!!RACE!!Total population!!Two or more races"
"DP05_0058MA","Annotation of Margin of Error!!RACE!!Total population!!Two or more races"
"DP05_0058EA","Annotation of Estimate!!RACE!!Total population!!Two or more races"
"DP05_0059E","Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American"
"DP05_0059EA","Annotation of Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American"
"DP05_0059M","Margin of Error!!RACE!!Total population!!Two or more races!!White and Black or African American"
"DP05_0059MA","Annotation of Margin of Error!!RACE!!Total population!!Two or more races!!White and Black or African American"
"DP05_0060E","Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native"
"DP05_0060EA","Annotation of Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native"
"DP05_0060M","Margin of Error!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native"
"DP05_0060MA","Annotation of Margin of Error!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native"
"DP05_0061E","Estimate!!RACE!!Total population!!Two or more races!!White and Asian"
"DP05_0061EA","Annotation of Estimate!!RACE!!Total population!!Two or more races!!White and Asian"
"DP05_0061M","Margin of Error!!RACE!!Total population!!Two or more races!!White and Asian"
"DP05_0061MA","Annotation of Margin of Error!!RACE!!Total population!!Two or more races!!White and Asian"
"DP05_0062E","Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native"
"DP05_0062EA","Annotation of Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native"
"DP05_0062M","Margin of Error!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native"
"DP05_0062MA","Annotation of Margin of Error!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native"
"DP05_0063E","Estimate!!Race alone or in combination with one or more other races!!Total population"
"DP05_0063M","Margin of Error!!Race alone or in combination with one or more other races!!Total population"
"DP05_0063MA","Annotation of Margin of Error!!Race alone or in combination with one or more other races!!Total population"
"DP05_0063EA","Annotation of Estimate!!Race alone or in combination with one or more other races!!Total population"
"DP05_0064E","Estimate!!Race alone or in combination with one or more other races!!Total population!!White"
"DP05_0064EA","Annotation of Estimate!!Race alone or in combination with one or more other races!!Total population!!White"
"DP05_0064M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!White"
"DP05_0064MA","Annotation of Margin of Error!!Race alone or in combination with one or more other races!!Total population!!White"
"DP05_0065E","Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American"
"DP05_0065EA","Annotation of Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American"
"DP05_0065M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Black or African American"
"DP05_0065MA","Annotation of Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Black or African American"
"DP05_0066E","Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native"
"DP05_0066EA","Annotation of Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native"
"DP05_0066M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native"
"DP05_0066MA","Annotation of Margin of Error!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native"
"DP05_0067E","Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian"
"DP05_0067EA","Annotation of Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian"
"DP05_0067M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Asian"
"DP05_0067MA","Annotation of Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Asian"
"DP05_0068E","Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander"
"DP05_0068M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander"
"DP05_0068MA","Annotation of Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander"
"DP05_0068EA","Annotation of Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander"
"DP05_0069E","Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race"
"DP05_0069EA","Annotation of Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race"
"DP05_0069M","Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Some other race"
"DP05_0069MA","Annotation of Margin of Error!!Race alone or in combination with one or more other races!!Total population!!Some other race"
"DP05_0070E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population"
"DP05_0070EA","Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population"
"DP05_0070M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population"
"DP05_0070MA","Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population"
"DP05_0071E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)"
"DP05_0071EA","Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)"
"DP05_0071M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)"
"DP05_0071MA","Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)"
"DP05_0072E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican"
"DP05_0072M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican"
"DP05_0072MA","Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican"
"DP05_0072EA","Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican"
"DP05_0073E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican"
"DP05_0073EA","Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican"
"DP05_0073M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican"
"DP05_0073MA","Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican"
"DP05_0074E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban"
"DP05_0074M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban"
"DP05_0074MA","Annotation of Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban"
"DP05_0074EA","Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban"
"DP05_0075E","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino"
"DP05_0075EA","Annotation of Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino"
"DP05_0075M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino"
